ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
23/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07408;0.21733;full_february;DAY_OF_WEEK
13/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07483;0.19335;full_february;DAY_OF_WEEK
07/03/2020;IDN;GADM;IDN.9.2_1;Bandung;0.07649;0.16443;full_february;DAY_OF_WEEK
28/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07657;0.23714;full_february;DAY_OF_WEEK
07/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07696;0.20987;full_february;DAY_OF_WEEK
07/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07751;0.20949;full_february;DAY_OF_WEEK
12/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07786;0.20421;full_february;DAY_OF_WEEK
27/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07827;0.20922;full_february;DAY_OF_WEEK
10/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07851;0.22864;full_february;DAY_OF_WEEK
28/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.07966;0.20642;full_february;DAY_OF_WEEK
17/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08077;0.23077;full_february;DAY_OF_WEEK
01/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08175;0.23693;full_february;DAY_OF_WEEK
15/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08261;0.20087;full_february;DAY_OF_WEEK
01/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08344;0.20178;full_february;DAY_OF_WEEK
10/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08396;0.21036;full_february;DAY_OF_WEEK
13/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08474;0.21632;full_february;DAY_OF_WEEK
27/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08502;0.20293;full_february;DAY_OF_WEEK
26/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08504;0.21074;full_february;DAY_OF_WEEK
16/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08538;0.21839;full_february;DAY_OF_WEEK
21/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08571;0.21543;full_february;DAY_OF_WEEK
08/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08643;0.21698;full_february;DAY_OF_WEEK
22/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08684;0.21051;full_february;DAY_OF_WEEK
15/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08694;0.22172;full_february;DAY_OF_WEEK
03/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.0877;0.21533;full_february;DAY_OF_WEEK
02/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08822;0.21536;full_february;DAY_OF_WEEK
14/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08828;0.151388889;full_february;DAY_OF_WEEK
08/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08932;0.23744;full_february;DAY_OF_WEEK
20/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08937;0.20362;full_february;DAY_OF_WEEK
26/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.08984;0.23313;full_february;DAY_OF_WEEK
28/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09054;0.20765;full_february;DAY_OF_WEEK
16/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09139;0.21927;full_february;DAY_OF_WEEK
15/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09196;0.21098;full_february;DAY_OF_WEEK
02/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09218;0.22239;full_february;DAY_OF_WEEK
09/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09413;0.21994;full_february;DAY_OF_WEEK
03/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09423;0.21995;full_february;DAY_OF_WEEK
27/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.0957;0.20984;full_february;DAY_OF_WEEK
25/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09633;0.20435;full_february;DAY_OF_WEEK
03/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09687;0.23643;full_february;DAY_OF_WEEK
25/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09729;0.21781;full_february;DAY_OF_WEEK
05/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09799;0.23094;full_february;DAY_OF_WEEK
11/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.09837;0.22538;full_february;DAY_OF_WEEK
12/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10035;0.23439;full_february;DAY_OF_WEEK
19/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10162;0.23158;full_february;DAY_OF_WEEK
10/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10268;0.24257;full_february;DAY_OF_WEEK
24/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10326;0.21879;full_february;DAY_OF_WEEK
05/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10381;0.23012;full_february;DAY_OF_WEEK
15/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10391;0.20937;full_february;DAY_OF_WEEK
17/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10432;0.21644;full_february;DAY_OF_WEEK
26/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10615;0.20423;full_february;DAY_OF_WEEK
27/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10647;0.24815;full_february;DAY_OF_WEEK
21/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10653;0.22638;full_february;DAY_OF_WEEK
23/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10662;0.22155;full_february;DAY_OF_WEEK
06/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10663;0.22615;full_february;DAY_OF_WEEK
02/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10734;0.23396;full_february;DAY_OF_WEEK
25/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10749;0.23926;full_february;DAY_OF_WEEK
07/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.10908;0.23284;full_february;DAY_OF_WEEK
09/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11111;0.22417;full_february;DAY_OF_WEEK
29/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11129;0.25276;full_february;DAY_OF_WEEK
20/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11152;0.23057;full_february;DAY_OF_WEEK
18/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11157;0.21288;full_february;DAY_OF_WEEK
12/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11309;0.23538;full_february;DAY_OF_WEEK
11/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11326;0.24037;full_february;DAY_OF_WEEK
14/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11337;0.23251;full_february;DAY_OF_WEEK
28/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11418;0.24045;full_february;DAY_OF_WEEK
13/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11555;0.23305;full_february;DAY_OF_WEEK
06/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11611;0.23469;full_february;DAY_OF_WEEK
02/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11637;0.22746;full_february;DAY_OF_WEEK
30/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11661;0.23091;full_february;DAY_OF_WEEK
24/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11742;0.25093;full_february;DAY_OF_WEEK
20/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11774;0.21284;full_february;DAY_OF_WEEK
29/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11781;0.23878;full_february;DAY_OF_WEEK
19/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11806;0.21082;full_february;DAY_OF_WEEK
04/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11825;0.23727;full_february;DAY_OF_WEEK
23/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.11866;0.20912;full_february;DAY_OF_WEEK
21/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12049;0.23996;full_february;DAY_OF_WEEK
17/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12089;0.22821;full_february;DAY_OF_WEEK
23/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12188;0.23853;full_february;DAY_OF_WEEK
13/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12222;0.23738;full_february;DAY_OF_WEEK
24/07/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12228;0.21637;full_february;DAY_OF_WEEK
27/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12255;0.23832;full_february;DAY_OF_WEEK
09/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12259;0.22747;full_february;DAY_OF_WEEK
26/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12306;0.22252;full_february;DAY_OF_WEEK
30/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12364;0.24863;full_february;DAY_OF_WEEK
21/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12443;0.22167;full_february;DAY_OF_WEEK
10/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12492;0.22774;full_february;DAY_OF_WEEK
12/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12525;0.22165;full_february;DAY_OF_WEEK
01/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12646;0.23351;full_february;DAY_OF_WEEK
26/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12693;0.23783;full_february;DAY_OF_WEEK
15/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.12718;0.23256;full_february;DAY_OF_WEEK
